,StopNum,RouteNum,PollTime,TimeToNext,TimeTo2nd
194,8766,9,25,-100,-100
195,8766,9,25,-100,-100
196,8766,9,25,-100,-100
197,8766,9,25,-100,-100
198,8766,9,25,-100,-100
199,8766,9,25,-100,-100
200,8766,9,25,-100,-100
201,8766,9,25,-100,-100
202,8766,9,25,-100,-100
203,8766,9,25,-100,-100
204,8766,9,25,-100,-100
205,8766,9,25,-100,-100
206,8766,9,25,-100,-100
207,8766,9,25,-100,-100
208,8766,9,25,-100,-100
209,8766,9,25,-100,-100
210,8766,9,25,-100,-100
211,8766,9,25,-100,-100
212,8766,9,25,-100,-100
213,8766,9,25,-100,-100
214,8766,9,25,-100,-100
215,8766,9,25,-100,-100
216,8766,9,25,-100,-100
217,8766,9,25,-100,-100
218,8766,9,25,-100,-100
219,8766,9,25,-100,-100
220,8766,9,25,-100,-100
221,8766,9,25,-100,-100
222,8766,9,25,-100,-100
223,8766,9,25,-100,-100
224,8766,9,25,-100,-100
225,8766,9,25,-100,-100
226,8766,9,25,-100,-100
227,8766,9,25,-100,-100
228,8766,9,25,-100,-100
229,8766,9,25,-100,-100
230,8766,9,25,-100,-100
231,8766,9,25,-100,-100
232,8766,9,25,-100,-100
233,8766,9,25,-100,-100
234,8766,9,25,-100,-100
235,8766,9,25,-100,-100
236,8766,9,25,-100,-100
237,8766,9,25,-100,-100
238,8766,9,25,-100,-100
239,8766,9,25,-100,-100
240,8766,9,25,-100,-100
241,8766,9,25,-100,-100
242,8766,9,25,-100,-100
243,8766,9,25,-100,-100
244,8766,9,25,-100,-100
245,8766,9,25,-100,-100
246,8766,9,25,-100,-100
247,8766,9,25,-100,-100
248,8766,9,25,-100,-100
249,8766,9,25,-100,-100
250,8766,9,25,-100,-100
251,8766,9,25,-100,-100
252,8766,9,25,-100,-100
253,8766,9,25,-100,-100
254,8766,9,25,-100,-100
255,8766,9,25,-100,-100
256,8766,9,25,-100,-100
257,8766,9,25,-100,-100
258,8766,9,25,-100,-100
259,8766,9,25,-100,-100
260,8766,9,25,-100,-100
261,8766,9,25,-100,-100
262,8766,9,25,-100,-100
263,8766,9,25,-100,-100
264,8766,9,25,-100,-100
265,8766,9,25,-100,-100
266,8766,9,25,-100,-100
267,8766,9,25,-100,-100
268,8766,9,25,-100,-100
269,8766,9,25,-100,-100
270,8766,9,25,-100,-100
271,8766,9,25,-100,-100
272,8766,9,25,-100,-100
273,8766,9,25,-100,-100
274,8766,9,25,-100,-100
275,8766,9,25,-100,-100
276,8766,9,25,-100,-100
277,8766,9,25,-100,-100
278,8766,9,25,-100,-100
279,8766,9,25,-100,-100
280,8766,9,25,-100,-100
281,8766,9,25,-100,-100
282,8766,9,25,-100,-100
283,8766,9,25,-100,-100
284,8766,9,25,-100,-100
285,8766,9,25,-100,-100
286,8766,9,25,-100,-100
287,8766,9,25,-100,-100
288,8766,9,25,-100,-100
289,8766,9,25,-100,-100
290,8766,9,25,-100,-100
291,8766,9,25,-100,-100
292,8766,9,25,-100,-100
293,8766,9,25,-100,-100
294,8766,9,25,-100,-100
295,8766,9,25,-100,-100
296,8766,9,25,-100,-100
297,8766,9,25,-100,-100
298,8766,9,25,-100,-100
299,8766,9,25,-100,-100
300,8766,9,25,-100,-100
301,8766,9,25,-100,-100
302,8766,9,25,-100,-100
303,8766,9,25,-100,-100
304,8766,9,25,-100,-100
305,8766,9,25,-100,-100
306,8766,9,25,-100,-100
307,8766,9,25,-100,-100
308,8766,9,25,-100,-100
309,8766,9,25,-100,-100
310,8766,9,25,-100,-100
311,8766,9,25,-100,-100
312,8766,9,25,-100,-100
313,8766,9,25,-100,-100
314,8766,9,25,-100,-100
315,8766,9,25,-100,-100
316,8766,9,25,-100,-100
317,8766,9,25,-100,-100
318,8766,9,25,-100,-100
319,8766,9,25,-100,-100
320,8766,9,25,-100,-100
321,8766,9,25,-100,-100
322,8766,9,25,-100,-100
323,8766,9,25,-100,-100
324,8766,9,25,-100,-100
325,8766,9,25,-100,-100
326,8766,9,25,-100,-100
